,id,seek,start,end,text,tokens,temperature,avg_logprob,compression_ratio,no_speech_prob
0,0,0,0.0,5.28, The following is a conversation with Mark Zuckerberg inside the metaverse.,"[50363, 383, 1708, 318, 257, 5273, 351, 2940, 32584, 2641, 262, 13634, 4399, 13, 50627]",0.0,-0.20645672026134673,1.5932835820895523,0.028643624857068062
1,1,0,5.72,9.6, Mark and I are hundreds of miles apart from each other in physical space.,"[50649, 2940, 290, 314, 389, 5179, 286, 4608, 5475, 422, 1123, 584, 287, 3518, 2272, 13, 50843]",0.0,-0.20645672026134673,1.5932835820895523,0.028643624857068062
2,2,0,10.040000000000001,14.16, But it feels like we're in the same room because we're a peer to each other as,"[50865, 887, 340, 5300, 588, 356, 821, 287, 262, 976, 2119, 780, 356, 821, 257, 12720, 284, 1123, 584, 355, 51071]",0.0,-0.20645672026134673,1.5932835820895523,0.028643624857068062
3,3,0,14.16,18.84, photorealistic codec avatars in 3D with spatial audio.,"[51071, 2825, 39396, 2569, 40481, 1196, 40193, 287, 513, 35, 351, 21739, 6597, 13, 51305]",0.0,-0.20645672026134673,1.5932835820895523,0.028643624857068062
4,4,0,19.48,21.400000000000002, This technology is incredible.,"[51337, 770, 3037, 318, 8082, 13, 51433]",0.0,-0.20645672026134673,1.5932835820895523,0.028643624857068062
5,5,0,21.76,25.88, And I think it's the future of how human beings connect to each other in a deeply,"[51451, 843, 314, 892, 340, 338, 262, 2003, 286, 703, 1692, 9791, 2018, 284, 1123, 584, 287, 257, 7744, 51657]",0.0,-0.20645672026134673,1.5932835820895523,0.028643624857068062
6,6,0,25.88,27.48, meaningful way on the internet.,"[51657, 11570, 835, 319, 262, 5230, 13, 51737]",0.0,-0.20645672026134673,1.5932835820895523,0.028643624857068062
7,7,2748,28.44,34.28, These avatars can capture many of the nuances of facial expressions that we use.,"[50411, 2312, 1196, 40193, 460, 8006, 867, 286, 262, 42160, 286, 16324, 14700, 326, 356, 779, 13, 50703]",0.0,-0.2224905168687975,1.460093896713615,0.008907422423362732
8,8,2748,34.32,37.72, We humans use to communicate emotion to each other.,"[50705, 775, 5384, 779, 284, 10996, 9942, 284, 1123, 584, 13, 50875]",0.0,-0.2224905168687975,1.460093896713615,0.008907422423362732
9,9,2748,38.2,44.16," Now I just need to work on upgrading my emotions, expressing capabilities of the","[50899, 2735, 314, 655, 761, 284, 670, 319, 25485, 616, 10825, 11, 16621, 9889, 286, 262, 51197]",0.0,-0.2224905168687975,1.460093896713615,0.008907422423362732
