,id,seek,start,end,text,tokens,temperature,avg_logprob,compression_ratio,no_speech_prob
0,0,0,0.0,4.2," The following is a conversation with Yay, the legendary artist, producer and","[50363, 383, 1708, 318, 257, 5273, 351, 575, 323, 11, 262, 13273, 6802, 11, 9920, 290, 50573]",0.0,-0.25398571737881365,1.6866197183098592,0.029450051486492157
1,1,0,4.2,10.120000000000001," designer formerly known as Kanye West on this, the Lex Friedman podcast.","[50573, 11915, 15734, 1900, 355, 27775, 2688, 319, 428, 11, 262, 17210, 25865, 9905, 13, 50869]",0.0,-0.25398571737881365,1.6866197183098592,0.029450051486492157
2,2,0,11.32,18.5," Based off of our connection and just you being a friend, I need to show you my two","[50929, 13403, 572, 286, 674, 4637, 290, 655, 345, 852, 257, 1545, 11, 314, 761, 284, 905, 345, 616, 734, 51288]",0.0,-0.25398571737881365,1.6866197183098592,0.029450051486492157
3,3,0,18.5,20.82, tech companies and get your perspective on it.,"[51288, 7261, 2706, 290, 651, 534, 6650, 319, 340, 13, 51404]",0.0,-0.25398571737881365,1.6866197183098592,0.029450051486492157
4,4,0,21.68,23.56, Because now I have friends that can give perspective.,"[51447, 4362, 783, 314, 423, 2460, 326, 460, 1577, 6650, 13, 51541]",0.0,-0.25398571737881365,1.6866197183098592,0.029450051486492157
5,5,0,23.56,27.2," Like when I would work on albums, I had other friends that worked on albums and","[51541, 4525, 618, 314, 561, 670, 319, 16788, 11, 314, 550, 584, 2460, 326, 3111, 319, 16788, 290, 51723]",0.0,-0.25398571737881365,1.6866197183098592,0.029450051486492157
6,6,0,27.2,28.52, they would give me their perspectives on it.,"[51723, 484, 561, 1577, 502, 511, 22582, 319, 340, 13, 51789]",0.0,-0.25398571737881365,1.6866197183098592,0.029450051486492157
7,7,0,28.72,29.48, You want to do this?,"[51799, 921, 765, 284, 466, 428, 30, 51837]",0.0,-0.25398571737881365,1.6866197183098592,0.029450051486492157
8,8,3000,30.16,30.84, We are doing it.,"[50371, 775, 389, 1804, 340, 13, 50405]",0.0,-0.1865619386945452,1.7338129496402879,0.0036353697068989277
9,9,3000,30.84,31.44, This is part of it.,"[50405, 770, 318, 636, 286, 340, 13, 50435]",0.0,-0.1865619386945452,1.7338129496402879,0.0036353697068989277
10,10,3000,31.44,32.28, This is part of it.,"[50435, 770, 318, 636, 286, 340, 13, 50477]",0.0,-0.1865619386945452,1.7338129496402879,0.0036353697068989277
11,11,3000,32.36,32.88, Absolutely.,"[50481, 28416, 13, 50507]",0.0,-0.1865619386945452,1.7338129496402879,0.0036353697068989277
12,12,3000,32.92,33.2, Right.,"[50509, 6498, 13, 50523]",0.0,-0.1865619386945452,1.7338129496402879,0.0036353697068989277
13,13,3000,33.2,33.68, Beautiful.,"[50523, 23762, 13, 50547]",0.0,-0.1865619386945452,1.7338129496402879,0.0036353697068989277
14,14,3000,34.16,37.4," Oh, well, I wanted to finish the thing is, okay, you're going to ask me different","[50571, 3966, 11, 880, 11, 314, 2227, 284, 5461, 262, 1517, 318, 11, 8788, 11, 345, 821, 1016, 284, 1265, 502, 1180, 50733]",0.0,-0.1865619386945452,1.7338129496402879,0.0036353697068989277
15,15,3000,37.4,42.04," questions, but I'm about growing and building and bringing the idea to life.","[50733, 2683, 11, 475, 314, 1101, 546, 3957, 290, 2615, 290, 6079, 262, 2126, 284, 1204, 13, 50965]",0.0,-0.1865619386945452,1.7338129496402879,0.0036353697068989277
16,16,3000,42.04,47.72," So when I see you, I say, oh, this guy understands how to hire engineers,","[50965, 1406, 618, 314, 766, 345, 11, 314, 910, 11, 11752, 11, 428, 3516, 14759, 703, 284, 11078, 12037, 11, 51249]",0.0,-0.1865619386945452,1.7338129496402879,0.0036353697068989277
17,17,3000,48.08,52.44," where I'm coming from, coming from Hollywood, coming from press, coming from media,","[51267, 810, 314, 1101, 2406, 422, 11, 2406, 422, 8502, 11, 2406, 422, 1803, 11, 2406, 422, 2056, 11, 51485]",0.0,-0.1865619386945452,1.7338129496402879,0.0036353697068989277
18,18,3000,52.96,57.6," all of the guys, you know, that so many of the guys that have been like voices","[51511, 477, 286, 262, 3730, 11, 345, 760, 11, 326, 523, 867, 286, 262, 3730, 326, 423, 587, 588, 10839, 51743]",0.0,-0.1865619386945452,1.7338129496402879,0.0036353697068989277
19,19,5760,57.6,63.120000000000005," and faces and talking heads, whatever, have not understood how to engineer","[50363, 290, 6698, 290, 3375, 6665, 11, 4232, 11, 423, 407, 7247, 703, 284, 11949, 50639]",0.0,-0.1693781991290231,1.6380597014925373,0.0014414222678169608
20,20,5760,63.32,63.88, product.,"[50649, 1720, 13, 50677]",0.0,-0.1693781991290231,1.6380597014925373,0.0014414222678169608
21,21,5760,63.88,67.56, And that's the reason why I was able to jump past everyone in the entertainment,"[50677, 843, 326, 338, 262, 1738, 1521, 314, 373, 1498, 284, 4391, 1613, 2506, 287, 262, 9739, 50861]",0.0,-0.1693781991290231,1.6380597014925373,0.0014414222678169608
22,22,5760,67.56,71.8," field and become, you know, whatever the net worth is 11.","[50861, 2214, 290, 1716, 11, 345, 760, 11, 4232, 262, 2010, 2861, 318, 1367, 13, 51073]",0.0,-0.1693781991290231,1.6380597014925373,0.0014414222678169608
23,23,5760,72.0,75.04, I'm going to stop putting the whole black thing on my work.,"[51083, 314, 1101, 1016, 284, 2245, 5137, 262, 2187, 2042, 1517, 319, 616, 670, 13, 51235]",0.0,-0.1693781991290231,1.6380597014925373,0.0014414222678169608
24,24,5760,75.04,79.6," Like let's just see where I am on the scale of life, because that's a cop out","[51235, 4525, 1309, 338, 655, 766, 810, 314, 716, 319, 262, 5046, 286, 1204, 11, 780, 326, 338, 257, 2243, 503, 51463]",0.0,-0.1693781991290231,1.6380597014925373,0.0014414222678169608
25,25,5760,79.6,84.32," for me to say, britches, black guy of all time, because that's feeding into the","[51463, 329, 502, 284, 910, 11, 275, 799, 2052, 11, 2042, 3516, 286, 477, 640, 11, 780, 326, 338, 13017, 656, 262, 51699]",0.0,-0.1693781991290231,1.6380597014925373,0.0014414222678169608
26,26,8432,84.32,89.44," same, you know, trauma economy that black lives matter feeds into.","[50363, 976, 11, 345, 760, 11, 14649, 3773, 326, 2042, 3160, 2300, 21318, 656, 13, 50619]",0.0,-0.16498453720756198,1.8223350253807107,0.015214264392852783
27,27,8432,89.75999999999999,92.0, That's why I love and respect engineers.,"[50635, 1320, 338, 1521, 314, 1842, 290, 2461, 12037, 13, 50747]",0.0,-0.16498453720756198,1.8223350253807107,0.015214264392852783
28,28,8432,92.52,97.32, That's the only thing that we really need to teach in school is engineering.,"[50773, 1320, 338, 262, 691, 1517, 326, 356, 1107, 761, 284, 4545, 287, 1524, 318, 8705, 13, 51013]",0.0,-0.16498453720756198,1.8223350253807107,0.015214264392852783
29,29,8432,97.55999999999999,99.28, We don't need to teach history.,"[51025, 775, 836, 470, 761, 284, 4545, 2106, 13, 51111]",0.0,-0.16498453720756198,1.8223350253807107,0.015214264392852783
30,30,8432,99.72,102.91999999999999, We don't need to teach anything that is subjective.,"[51133, 775, 836, 470, 761, 284, 4545, 1997, 326, 318, 19088, 13, 51293]",0.0,-0.16498453720756198,1.8223350253807107,0.015214264392852783
