,id,seek,start,end,text,tokens,temperature,avg_logprob,compression_ratio,no_speech_prob
0,0,0,0.0,7.0, and,"[50363, 290, 50713]",0.0,-0.6136254566471752,1.6306818181818181,0.3924613893032074
1,1,0,11.76,14.8, and uh... okay that's just the very professional,"[50951, 290, 21480, 986, 8788, 326, 338, 655, 262, 845, 4708, 51103]",0.0,-0.6136254566471752,1.6306818181818181,0.3924613893032074
2,2,0,14.8,17.56, that's what you know people are like,"[51103, 326, 338, 644, 345, 760, 661, 389, 588, 51241]",0.0,-0.6136254566471752,1.6306818181818181,0.3924613893032074
3,3,0,17.56,21.32, uh... you how do you live in and things like that they're taking money from the,"[51241, 21480, 986, 345, 703, 466, 345, 2107, 287, 290, 1243, 588, 326, 484, 821, 2263, 1637, 422, 262, 51429]",0.0,-0.6136254566471752,1.6306818181818181,0.3924613893032074
4,4,0,21.32,23.96, russians and of course the answers no,"[51429, 374, 1046, 1547, 290, 286, 1781, 262, 7429, 645, 51561]",0.0,-0.6136254566471752,1.6306818181818181,0.3924613893032074
5,5,0,23.96,27.6, but uh... i i do this for a little bit like i i speak on i don't have a youtube,"[51561, 475, 21480, 986, 1312, 1312, 466, 428, 329, 257, 1310, 1643, 588, 1312, 1312, 2740, 319, 1312, 836, 470, 423, 257, 35116, 51743]",0.0,-0.6136254566471752,1.6306818181818181,0.3924613893032074
6,6,2760,27.6,30.48, channel the where it's you know i'm jerry,"[50363, 6518, 262, 810, 340, 338, 345, 760, 1312, 1101, 474, 6996, 50507]",0.0,-0.47152503331502277,1.8451882845188285,0.030874265357851982
7,7,2760,30.48,33.56, but i'd give speeches at universities and things like that i do a lot of,"[50507, 475, 1312, 1549, 1577, 18138, 379, 11155, 290, 1243, 588, 326, 1312, 466, 257, 1256, 286, 50661]",0.0,-0.47152503331502277,1.8451882845188285,0.030874265357851982
8,8,2760,33.56,34.96, interviews and so,"[50661, 9299, 290, 523, 50731]",0.0,-0.47152503331502277,1.8451882845188285,0.030874265357851982
9,9,2760,34.96,36.760000000000005, we're recording our own setup,"[50731, 356, 821, 8296, 674, 898, 9058, 50821]",0.0,-0.47152503331502277,1.8451882845188285,0.030874265357851982
10,10,2760,36.760000000000005,41.28, cool is it possible that you could do a youtube channel with that work,"[50821, 3608, 318, 340, 1744, 326, 345, 714, 466, 257, 35116, 6518, 351, 326, 670, 51047]",0.0,-0.47152503331502277,1.8451882845188285,0.030874265357851982
11,11,2760,41.28,41.72, but,"[51047, 475, 51069]",0.0,-0.47152503331502277,1.8451882845188285,0.030874265357851982
12,12,2760,41.72,43.52, i mean,"[51069, 1312, 1612, 51159]",0.0,-0.47152503331502277,1.8451882845188285,0.030874265357851982
13,13,2760,43.52,48.2, if yeah like i i mean if you introduce me so like i get followers yet we could,"[51159, 611, 10194, 588, 1312, 1312, 1612, 611, 345, 10400, 502, 523, 588, 1312, 651, 10569, 1865, 356, 714, 51393]",0.0,-0.47152503331502277,1.8451882845188285,0.030874265357851982
14,14,2760,48.2,50.040000000000006, do that to them all in,"[51393, 466, 326, 284, 606, 477, 287, 51485]",0.0,-0.47152503331502277,1.8451882845188285,0.030874265357851982
15,15,2760,50.040000000000006,53.44, with that that could absolutely happen do you want to do that is that something,"[51485, 351, 326, 326, 714, 5543, 1645, 466, 345, 765, 284, 466, 326, 318, 326, 1223, 51655]",0.0,-0.47152503331502277,1.8451882845188285,0.030874265357851982
16,16,2760,53.44,55.040000000000006, you want to do,"[51655, 345, 765, 284, 466, 51735]",0.0,-0.47152503331502277,1.8451882845188285,0.030874265357851982
17,17,5504,55.04,58.16, now i mean this is a big question so i i came on,"[50363, 783, 1312, 1612, 428, 318, 257, 1263, 1808, 523, 1312, 1312, 1625, 319, 50519]",0.0,-0.23193194789271201,1.7992565055762082,0.0017680758610367775
18,18,5504,58.16,62.64, uh... because i just uh... written a book uh... called permanent record,"[50519, 21480, 986, 780, 1312, 655, 21480, 986, 3194, 257, 1492, 21480, 986, 1444, 7748, 1700, 50743]",0.0,-0.23193194789271201,1.7992565055762082,0.0017680758610367775
19,19,5504,62.64,66.64, uh... which is the the story of my life because that's what publishers make you,"[50743, 21480, 986, 543, 318, 262, 262, 1621, 286, 616, 1204, 780, 326, 338, 644, 17604, 787, 345, 50943]",0.0,-0.23193194789271201,1.7992565055762082,0.0017680758610367775
20,20,5504,66.64,69.16, do when when you're writing your first book,"[50943, 466, 618, 618, 345, 821, 3597, 534, 717, 1492, 51069]",0.0,-0.23193194789271201,1.7992565055762082,0.0017680758610367775
21,21,5504,69.16,72.56, uh... but it it's more than that because i didn't just want to talk about me it,"[51069, 21480, 986, 475, 340, 340, 338, 517, 621, 326, 780, 1312, 1422, 470, 655, 765, 284, 1561, 546, 502, 340, 51239]",0.0,-0.23193194789271201,1.7992565055762082,0.0017680758610367775
22,22,5504,72.56,74.96000000000001, it's actually about the changing of technology,"[51239, 340, 338, 1682, 546, 262, 5609, 286, 3037, 51359]",0.0,-0.23193194789271201,1.7992565055762082,0.0017680758610367775
23,23,5504,74.96000000000001,79.03999999999999, and the changing of government in this sort of post-9-11 era,"[51359, 290, 262, 5609, 286, 1230, 287, 428, 3297, 286, 1281, 12, 24, 12, 1157, 6980, 51563]",0.0,-0.23193194789271201,1.7992565055762082,0.0017680758610367775
24,24,5504,79.03999999999999,82.16, which you know our generation just sort of happened,"[51563, 543, 345, 760, 674, 5270, 655, 3297, 286, 3022, 51719]",0.0,-0.23193194789271201,1.7992565055762082,0.0017680758610367775
25,25,8216,82.16,83.88, uh... to be growing up during,"[50363, 21480, 986, 284, 307, 3957, 510, 1141, 50449]",0.0,-0.19660482272295884,2.0979591836734692,0.010831422172486782
26,26,8216,83.88,87.47999999999999, and i was at the ci in the nsa and all this stuff but the day that the book came,"[50449, 290, 1312, 373, 379, 262, 269, 72, 287, 262, 299, 11400, 290, 477, 428, 3404, 475, 262, 1110, 326, 262, 1492, 1625, 50629]",0.0,-0.19660482272295884,2.0979591836734692,0.010831422172486782
27,27,8216,87.47999999999999,88.39999999999999, out,"[50629, 503, 50675]",0.0,-0.19660482272295884,2.0979591836734692,0.010831422172486782
28,28,8216,88.39999999999999,90.44, uh... the government hit me with a lawsuit,"[50675, 21480, 986, 262, 1230, 2277, 502, 351, 257, 8087, 50777]",0.0,-0.19660482272295884,2.0979591836734692,0.010831422172486782
29,29,8216,90.44,92.47999999999999, and they hit the publisher of the books,"[50777, 290, 484, 2277, 262, 9991, 286, 262, 3835, 50879]",0.0,-0.19660482272295884,2.0979591836734692,0.010831422172486782
30,30,8216,92.47999999999999,95.52, uh... with a with a lawsuit,"[50879, 21480, 986, 351, 257, 351, 257, 8087, 51031]",0.0,-0.19660482272295884,2.0979591836734692,0.010831422172486782
31,31,8216,95.52,98.72, and because they don't want to see books like this get written they especially,"[51031, 290, 780, 484, 836, 470, 765, 284, 766, 3835, 588, 428, 651, 3194, 484, 2592, 51191]",0.0,-0.19660482272295884,2.0979591836734692,0.010831422172486782
32,32,8216,98.72,100.6, don't want to see books like this,"[51191, 836, 470, 765, 284, 766, 3835, 588, 428, 51285]",0.0,-0.19660482272295884,2.0979591836734692,0.010831422172486782
33,33,8216,100.6,102.03999999999999, uh... get read,"[51285, 21480, 986, 651, 1100, 51357]",0.0,-0.19660482272295884,2.0979591836734692,0.010831422172486782
34,34,8216,102.03999999999999,105.12, uh... and so the big thing was you know we we didn't know where this is going we,"[51357, 21480, 986, 290, 523, 262, 1263, 1517, 373, 345, 760, 356, 356, 1422, 470, 760, 810, 428, 318, 1016, 356, 51511]",0.0,-0.19660482272295884,2.0979591836734692,0.010831422172486782
35,35,8216,105.12,109.0, didn't know what was going to happen uh... and my publisher of course wanted me,"[51511, 1422, 470, 760, 644, 373, 1016, 284, 1645, 21480, 986, 290, 616, 9991, 286, 1781, 2227, 502, 51705]",0.0,-0.19660482272295884,2.0979591836734692,0.010831422172486782
36,36,10900,109.08,113.8, very badly to let people know this book existed in case the government leaned,"[50367, 845, 11234, 284, 1309, 661, 760, 428, 1492, 11196, 287, 1339, 262, 1230, 23831, 50603]",0.0,-0.22068707148234049,1.8452830188679246,0.0020001400262117386
37,37,10900,113.8,115.8, hard and harder harder we didn't know where,"[50603, 1327, 290, 7069, 7069, 356, 1422, 470, 760, 810, 50703]",0.0,-0.22068707148234049,1.8452830188679246,0.0020001400262117386
38,38,10900,115.8,116.76, where that's going,"[50703, 810, 326, 338, 1016, 50751]",0.0,-0.22068707148234049,1.8452830188679246,0.0020001400262117386
39,39,10900,116.76,118.76, uh... the government is still,"[50751, 21480, 986, 262, 1230, 318, 991, 50851]",0.0,-0.22068707148234049,1.8452830188679246,0.0020001400262117386
40,40,10900,118.76,121.52, uh... pursuing that case quite strongly,"[50851, 21480, 986, 15461, 326, 1339, 2407, 7634, 50989]",0.0,-0.22068707148234049,1.8452830188679246,0.0020001400262117386
41,41,10900,121.52,125.32, uh... they're more focused on the the financial censorship side of it uh...,"[50989, 21480, 986, 484, 821, 517, 5670, 319, 262, 262, 3176, 21185, 1735, 286, 340, 21480, 986, 51179]",0.0,-0.22068707148234049,1.8452830188679246,0.0020001400262117386
42,42,10900,125.32,127.68, basically taking the money that i made from it,"[51179, 6209, 2263, 262, 1637, 326, 1312, 925, 422, 340, 51297]",0.0,-0.22068707148234049,1.8452830188679246,0.0020001400262117386
43,43,10900,127.68,130.52, uh... kind of as a warning to the others uh...,"[51297, 21480, 986, 1611, 286, 355, 257, 6509, 284, 262, 1854, 21480, 986, 51439]",0.0,-0.22068707148234049,1.8452830188679246,0.0020001400262117386
44,44,10900,130.52,134.12, and getting a legal judgment against the publishers saying you know you can't,"[51439, 290, 1972, 257, 2742, 8492, 1028, 262, 17604, 2282, 345, 760, 345, 460, 470, 51619]",0.0,-0.22068707148234049,1.8452830188679246,0.0020001400262117386
45,45,10900,134.12,136.32, pay the sky that kind of thing,"[51619, 1414, 262, 6766, 326, 1611, 286, 1517, 51729]",0.0,-0.22068707148234049,1.8452830188679246,0.0020001400262117386
46,46,13632,136.32,139.76, more so than taking the book off the shelves but that's not because,"[50363, 517, 523, 621, 2263, 262, 1492, 572, 262, 20726, 475, 326, 338, 407, 780, 50535]",0.0,-0.1990587498114361,1.9173553719008265,0.002218837384134531
47,47,13632,139.76,143.16, uh... they're okay with the book being on the shelves it's because thankfully we,"[50535, 21480, 986, 484, 821, 8788, 351, 262, 1492, 852, 319, 262, 20726, 340, 338, 780, 36308, 356, 50705]",0.0,-0.1990587498114361,1.9173553719008265,0.002218837384134531
48,48,13632,143.16,144.84, we've got the first amendment,"[50705, 356, 1053, 1392, 262, 717, 11326, 50789]",0.0,-0.1990587498114361,1.9173553719008265,0.002218837384134531
49,49,13632,144.84,148.88, and so they can't and that's very rare and and and good thing,"[50789, 290, 523, 484, 460, 470, 290, 326, 338, 845, 4071, 290, 290, 290, 922, 1517, 50991]",0.0,-0.1990587498114361,1.9173553719008265,0.002218837384134531
50,50,13632,148.88,152.95999999999998, uh... but anyway in the context of that,"[50991, 21480, 986, 475, 6949, 287, 262, 4732, 286, 326, 51195]",0.0,-0.1990587498114361,1.9173553719008265,0.002218837384134531
51,51,13632,152.95999999999998,155.32, uh... they were like well what about your road,"[51195, 21480, 986, 484, 547, 588, 880, 644, 546, 534, 2975, 51313]",0.0,-0.1990587498114361,1.9173553719008265,0.002218837384134531
52,52,13632,155.32,157.72, and you know i i i'd heard about you,"[51313, 290, 345, 760, 1312, 1312, 1312, 1549, 2982, 546, 345, 51433]",0.0,-0.1990587498114361,1.9173553719008265,0.002218837384134531
