,id,seek,start,end,text,tokens,temperature,avg_logprob,compression_ratio,no_speech_prob
0,0,0,0.0,5.0, Mm. Mm-mm. Mm-mm. Mm-mm. Mm-mm. Mm-mm.,"[50363, 337, 76, 13, 337, 76, 12, 3020, 13, 337, 76, 12, 3020, 13, 337, 76, 12, 3020, 13, 337, 76, 12, 3020, 13, 337, 76, 12, 3020, 13, 50613]",0.0,-0.33886218208798097,1.6781609195402298,0.18414245545864105
1,1,0,6.08,7.08, And we're going live.,"[50667, 843, 356, 821, 1016, 2107, 13, 50717]",0.0,-0.33886218208798097,1.6781609195402298,0.18414245545864105
2,2,0,7.08,8.0," Yes, sir.","[50717, 3363, 11, 15967, 13, 50763]",0.0,-0.33886218208798097,1.6781609195402298,0.18414245545864105
3,3,0,8.0,10.84, What do you got in social media?,"[50763, 1867, 466, 345, 1392, 287, 1919, 2056, 30, 50905]",0.0,-0.33886218208798097,1.6781609195402298,0.18414245545864105
4,4,0,10.84,12.040000000000001," People love you, bro.","[50905, 4380, 1842, 345, 11, 1379, 13, 50965]",0.0,-0.33886218208798097,1.6781609195402298,0.18414245545864105
5,5,0,12.040000000000001,13.08, People love you too.,"[50965, 4380, 1842, 345, 1165, 13, 51017]",0.0,-0.33886218208798097,1.6781609195402298,0.18414245545864105
6,6,0,13.08,13.92," Oh, we're live. We're doing it right now.","[51017, 3966, 11, 356, 821, 2107, 13, 775, 821, 1804, 340, 826, 783, 13, 51059]",0.0,-0.33886218208798097,1.6781609195402298,0.18414245545864105
7,7,0,13.92,15.16, It's just right inside it.,"[51059, 632, 338, 655, 826, 2641, 340, 13, 51121]",0.0,-0.33886218208798097,1.6781609195402298,0.18414245545864105
8,8,0,15.16,18.56," So we've, God, oh, what's the word?","[51121, 1406, 356, 1053, 11, 1793, 11, 11752, 11, 644, 338, 262, 1573, 30, 51291]",0.0,-0.33886218208798097,1.6781609195402298,0.18414245545864105
9,9,0,18.56,19.96, Gocked? What's the word when you,"[51291, 402, 3543, 30, 1867, 338, 262, 1573, 618, 345, 51361]",0.0,-0.33886218208798097,1.6781609195402298,0.18414245545864105
10,10,0,19.96,21.56, oggled over someone's body?,"[51361, 267, 1130, 992, 625, 2130, 338, 1767, 30, 51441]",0.0,-0.33886218208798097,1.6781609195402298,0.18414245545864105
11,11,0,21.56,22.400000000000002, Sure.,"[51441, 10889, 13, 51483]",0.0,-0.33886218208798097,1.6781609195402298,0.18414245545864105
12,12,0,22.400000000000002,23.76," Dude, you got jacked.","[51483, 40628, 11, 345, 1392, 474, 6021, 13, 51551]",0.0,-0.33886218208798097,1.6781609195402298,0.18414245545864105
13,13,0,23.76,25.6, You went from being skinny to shredded.,"[51551, 921, 1816, 422, 852, 29494, 284, 37624, 13, 51643]",0.0,-0.33886218208798097,1.6781609195402298,0.18414245545864105
14,14,0,25.6,26.44," Yeah, yup.","[51643, 9425, 11, 331, 929, 13, 51685]",0.0,-0.33886218208798097,1.6781609195402298,0.18414245545864105
15,15,0,26.44,28.64," You're pretty serious about MMA training, man.","[51685, 921, 821, 2495, 2726, 546, 19055, 3047, 11, 582, 13, 51795]",0.0,-0.33886218208798097,1.6781609195402298,0.18414245545864105
16,16,2864,28.64,30.96, It's really just about the lifestyle.,"[50363, 632, 338, 1107, 655, 546, 262, 12263, 13, 50479]",0.0,-0.2808323111585391,1.7969696969696969,0.00968264415860176
17,17,2864,30.96,31.8, You know what I mean?,"[50479, 921, 760, 644, 314, 1612, 30, 50521]",0.0,-0.2808323111585391,1.7969696969696969,0.00968264415860176
18,18,2864,31.8,33.480000000000004," You're a martial artist, so you know,","[50521, 921, 821, 257, 15618, 6802, 11, 523, 345, 760, 11, 50605]",0.0,-0.2808323111585391,1.7969696969696969,0.00968264415860176
19,19,2864,33.480000000000004,37.6, freaking the mind and the body and the soul go together.,"[50605, 35607, 262, 2000, 290, 262, 1767, 290, 262, 5848, 467, 1978, 13, 50811]",0.0,-0.2808323111585391,1.7969696969696969,0.00968264415860176
20,20,2864,37.6,38.44, So for sure.,"[50811, 1406, 329, 1654, 13, 50853]",0.0,-0.2808323111585391,1.7969696969696969,0.00968264415860176
21,21,2864,38.44,39.28," Yeah, for sure.","[50853, 9425, 11, 329, 1654, 13, 50895]",0.0,-0.2808323111585391,1.7969696969696969,0.00968264415860176
22,22,2864,39.28,40.120000000000005, For sure.,"[50895, 1114, 1654, 13, 50937]",0.0,-0.2808323111585391,1.7969696969696969,0.00968264415860176
23,23,2864,40.120000000000005,40.96, For sure.,"[50937, 1114, 1654, 13, 50979]",0.0,-0.2808323111585391,1.7969696969696969,0.00968264415860176
24,24,2864,40.96,41.8," All of these things I'm learning about them,","[50979, 1439, 286, 777, 1243, 314, 1101, 4673, 546, 606, 11, 51021]",0.0,-0.2808323111585391,1.7969696969696969,0.00968264415860176
25,25,2864,41.8,42.64, I'm able to put them all together.,"[51021, 314, 1101, 1498, 284, 1234, 606, 477, 1978, 13, 51063]",0.0,-0.2808323111585391,1.7969696969696969,0.00968264415860176
26,26,2864,42.64,44.64, You can't be a complete person until everything is together.,"[51063, 921, 460, 470, 307, 257, 1844, 1048, 1566, 2279, 318, 1978, 13, 51163]",0.0,-0.2808323111585391,1.7969696969696969,0.00968264415860176
27,27,2864,44.64,45.480000000000004, Ooh.,"[51163, 440, 1219, 13, 51205]",0.0,-0.2808323111585391,1.7969696969696969,0.00968264415860176
28,28,2864,45.480000000000004,48.88," So, you know, spiritually, I've already ascended above","[51205, 1406, 11, 345, 760, 11, 45319, 11, 314, 1053, 1541, 44440, 2029, 51375]",0.0,-0.2808323111585391,1.7969696969696969,0.00968264415860176
29,29,2864,48.88,49.760000000000005, my peers.,"[51375, 616, 14495, 13, 51419]",0.0,-0.2808323111585391,1.7969696969696969,0.00968264415860176
30,30,2864,49.760000000000005,51.2, Now I'm taking my body up there.,"[51419, 2735, 314, 1101, 2263, 616, 1767, 510, 612, 13, 51491]",0.0,-0.2808323111585391,1.7969696969696969,0.00968264415860176
31,31,2864,51.2,52.24, How do you do that spiritually?,"[51491, 1374, 466, 345, 466, 326, 45319, 30, 51543]",0.0,-0.2808323111585391,1.7969696969696969,0.00968264415860176
32,32,2864,52.24,54.44, Through that giant jug of weed you got out of table?,"[51543, 9561, 326, 6175, 45808, 286, 20349, 345, 1392, 503, 286, 3084, 30, 51653]",0.0,-0.2808323111585391,1.7969696969696969,0.00968264415860176
33,33,2864,54.44,54.96, Exactly.,"[51653, 36819, 13, 51679]",0.0,-0.2808323111585391,1.7969696969696969,0.00968264415860176
34,34,2864,54.96,55.96, Yeah.,"[51679, 9425, 13, 51729]",0.0,-0.2808323111585391,1.7969696969696969,0.00968264415860176
35,35,2864,55.96,56.8, Stay high.,"[51729, 16160, 1029, 13, 51771]",0.0,-0.2808323111585391,1.7969696969696969,0.00968264415860176
36,36,2864,56.8,58.44," Yeah, for the folks only listening","[51771, 9425, 11, 329, 262, 7974, 691, 8680, 51853]",0.0,-0.2808323111585391,1.7969696969696969,0.00968264415860176
37,37,5844,58.44,62.04, with is brought literally like a Mason jar held with weed.,"[50363, 351, 318, 3181, 7360, 588, 257, 14737, 17379, 2714, 351, 20349, 13, 50543]",0.0,-0.30355201333256093,1.6506024096385543,0.014769173227250576
