,id,seek,start,end,text,tokens,temperature,avg_logprob,compression_ratio,no_speech_prob
0,0,0,0.0,3.68," We're almost at the edge of history when we go to 11,600 years ago.","[50363, 775, 821, 2048, 379, 262, 5743, 286, 2106, 618, 356, 467, 284, 1367, 11, 8054, 812, 2084, 13, 50547]",0.0,-0.1936525356269882,1.7202216066481995,0.06244087964296341
1,1,0,3.68,6.24, That's the date that Gobekli Tapi in Turkey is built.,"[50547, 1320, 338, 262, 3128, 326, 16909, 988, 4528, 309, 15042, 287, 7137, 318, 3170, 13, 50675]",0.0,-0.1936525356269882,1.7202216066481995,0.06244087964296341
2,2,0,6.24,10.96," That, weirdly, is the date that Plato's Tameus and Critias gives for the emergence of Atlantis.","[50675, 1320, 11, 7650, 306, 11, 318, 262, 3128, 326, 32976, 338, 309, 480, 385, 290, 10056, 4448, 3607, 329, 262, 22106, 286, 34779, 13, 50911]",0.0,-0.1936525356269882,1.7202216066481995,0.06244087964296341
3,3,0,10.96,13.84, Archaeologists roll their eyes at any mention of Atlantis.,"[50911, 32187, 9251, 4836, 511, 2951, 379, 597, 3068, 286, 34779, 13, 51055]",0.0,-0.1936525356269882,1.7202216066481995,0.06244087964296341
4,4,0,13.84,15.36, Flatter for archaeologists.,"[51055, 1610, 1436, 329, 38967, 13, 51131]",0.0,-0.1936525356269882,1.7202216066481995,0.06244087964296341
5,5,0,15.36,16.8," Yeah, it's from the Arctic.","[51131, 9425, 11, 340, 338, 422, 262, 15723, 13, 51203]",0.0,-0.1936525356269882,1.7202216066481995,0.06244087964296341
6,6,0,16.8,18.56, I want to talk about Antarctica.,"[51203, 314, 765, 284, 1561, 546, 30185, 13, 51291]",0.0,-0.1936525356269882,1.7202216066481995,0.06244087964296341
7,7,0,18.56,20.48, I was very interested in Antarctica.,"[51291, 314, 373, 845, 4609, 287, 30185, 13, 51387]",0.0,-0.1936525356269882,1.7202216066481995,0.06244087964296341
8,8,0,20.48,23.2, There's undoubtedly a time when Antarctica was lush and green.,"[51387, 1318, 338, 17713, 257, 640, 618, 30185, 373, 37408, 290, 4077, 13, 51523]",0.0,-0.1936525356269882,1.7202216066481995,0.06244087964296341
9,9,0,23.2,26.48," The question is, was it lush and green during the lifetime of the human species?","[51523, 383, 1808, 318, 11, 373, 340, 37408, 290, 4077, 1141, 262, 10869, 286, 262, 1692, 4693, 30, 51687]",0.0,-0.1936525356269882,1.7202216066481995,0.06244087964296341
10,10,0,26.48,26.96, Yes.,"[51687, 3363, 13, 51711]",0.0,-0.1936525356269882,1.7202216066481995,0.06244087964296341
11,11,0,26.96,29.68, He did know that other pyramids had their entrance in the North Face.,"[51711, 679, 750, 760, 326, 584, 12972, 43591, 550, 511, 10384, 287, 262, 2258, 15399, 13, 51847]",0.0,-0.1936525356269882,1.7202216066481995,0.06244087964296341
12,12,2968,29.68,33.04, And that is the entrance through which you will have gone when you enter the Great Pyramid.,"[50363, 843, 326, 318, 262, 10384, 832, 543, 345, 481, 423, 3750, 618, 345, 3802, 262, 3878, 41450, 13, 50531]",0.0,-0.1842212099017519,1.7060518731988472,0.004660262260586023
13,13,2968,33.04,34.88, It's called Mamun's Hole.,"[50531, 632, 338, 1444, 29926, 403, 338, 24478, 13, 50623]",0.0,-0.1842212099017519,1.7060518731988472,0.004660262260586023
14,14,2968,35.84,40.64, I'm doing a debate with a leading archaeologist on the Jorogan experience.,"[50671, 314, 1101, 1804, 257, 4384, 351, 257, 3756, 16713, 7451, 319, 262, 449, 273, 9632, 1998, 13, 50911]",0.0,-0.1842212099017519,1.7060518731988472,0.004660262260586023
15,15,2968,40.64,42.4, It's a very good thing that this is happening.,"[50911, 632, 338, 257, 845, 922, 1517, 326, 428, 318, 5836, 13, 50999]",0.0,-0.1842212099017519,1.7060518731988472,0.004660262260586023
16,16,2968,42.4,43.519999999999996," The mainstream has normally said,","[50999, 383, 8661, 468, 7685, 531, 11, 51055]",0.0,-0.1842212099017519,1.7060518731988472,0.004660262260586023
17,17,2968,43.519999999999996,44.72, now we don't want to talk to you guys.,"[51055, 783, 356, 836, 470, 765, 284, 1561, 284, 345, 3730, 13, 51115]",0.0,-0.1842212099017519,1.7060518731988472,0.004660262260586023
18,18,2968,44.72,45.44, You're loony shoes.,"[51115, 921, 821, 2376, 1647, 10012, 13, 51151]",0.0,-0.1842212099017519,1.7060518731988472,0.004660262260586023
19,19,2968,45.44,46.8, We're not going to give you a platform.,"[51151, 775, 821, 407, 1016, 284, 1577, 345, 257, 3859, 13, 51219]",0.0,-0.1842212099017519,1.7060518731988472,0.004660262260586023
20,20,2968,46.8,48.16," But in this case, it is happening.","[51219, 887, 287, 428, 1339, 11, 340, 318, 5836, 13, 51287]",0.0,-0.1842212099017519,1.7060518731988472,0.004660262260586023
21,21,2968,48.16,51.120000000000005, I have things to say that I'm going to preserve my ammunition for.,"[51287, 314, 423, 1243, 284, 910, 326, 314, 1101, 1016, 284, 12201, 616, 14271, 329, 13, 51435]",0.0,-0.1842212099017519,1.7060518731988472,0.004660262260586023
22,22,2968,51.120000000000005,53.28," It's on psychedelics, particularly on ayahuasca.","[51435, 632, 338, 319, 27477, 873, 11, 3573, 319, 38762, 12196, 42688, 13, 51543]",0.0,-0.1842212099017519,1.7060518731988472,0.004660262260586023
23,23,2968,53.28,57.120000000000005, I have felt the presence of the entity that I call Mother Ayahuasca.,"[51543, 314, 423, 2936, 262, 4931, 286, 262, 9312, 326, 314, 869, 10584, 13709, 12196, 42688, 13, 51735]",0.0,-0.1842212099017519,1.7060518731988472,0.004660262260586023
24,24,5712,57.12,60.879999999999995, She took the form of an enormous serpent who wrapped herself around my body.,"[50363, 1375, 1718, 262, 1296, 286, 281, 9812, 33727, 508, 12908, 5223, 1088, 616, 1767, 13, 50551]",0.0,-0.21403511477188325,1.6057692307692308,0.007918777875602245
25,25,5712,60.879999999999995,62.16, I felt enormously comforted.,"[50551, 314, 2936, 36005, 4467, 276, 13, 50615]",0.0,-0.21403511477188325,1.6057692307692308,0.007918777875602245
26,26,5712,62.16,65.84," And again, I got a message that I've had many times is that you won't be good","[50615, 843, 757, 11, 314, 1392, 257, 3275, 326, 314, 1053, 550, 867, 1661, 318, 326, 345, 1839, 470, 307, 922, 50799]",0.0,-0.21403511477188325,1.6057692307692308,0.007918777875602245
27,27,5712,65.84,68.39999999999999, at giving love to others if you don't love yourself.,"[50799, 379, 3501, 1842, 284, 1854, 611, 345, 836, 470, 1842, 3511, 13, 50927]",0.0,-0.21403511477188325,1.6057692307692308,0.007918777875602245
28,28,5712,68.39999999999999,69.52," What's up, everybody?","[50927, 1867, 338, 510, 11, 7288, 30, 50983]",0.0,-0.21403511477188325,1.6057692307692308,0.007918777875602245
29,29,5712,69.52,70.8, And welcome to Fligern.,"[50983, 843, 7062, 284, 1610, 328, 1142, 13, 51047]",0.0,-0.21403511477188325,1.6057692307692308,0.007918777875602245
30,30,5712,70.8,74.16, And today we're incredibly excited because we're sitting down with the godfather.,"[51047, 843, 1909, 356, 821, 8131, 6568, 780, 356, 821, 5586, 866, 351, 262, 5770, 11358, 13, 51215]",0.0,-0.21403511477188325,1.6057692307692308,0.007918777875602245
31,31,5712,74.16,74.96, Okay.,"[51215, 16805, 13, 51255]",0.0,-0.21403511477188325,1.6057692307692308,0.007918777875602245
32,32,5712,74.96,81.12, The godfather of my YouTube rabbit holes for the last maybe five years?,"[51255, 383, 5770, 11358, 286, 616, 7444, 22746, 10421, 329, 262, 938, 3863, 1936, 812, 30, 51563]",0.0,-0.21403511477188325,1.6057692307692308,0.007918777875602245
33,33,5712,81.84,82.64, Six years?,"[51599, 9699, 812, 30, 51639]",0.0,-0.21403511477188325,1.6057692307692308,0.007918777875602245
34,34,5712,82.64,83.12, Yeah.,"[51639, 9425, 13, 51663]",0.0,-0.21403511477188325,1.6057692307692308,0.007918777875602245
35,35,5712,83.12,84.56, Years beyond that?,"[51663, 13212, 3675, 326, 30, 51735]",0.0,-0.21403511477188325,1.6057692307692308,0.007918777875602245
36,36,5712,84.56,85.52, We have Grand handker.,"[51735, 775, 423, 5675, 1021, 6122, 13, 51783]",0.0,-0.21403511477188325,1.6057692307692308,0.007918777875602245
37,37,8552,85.52,86.32, Thank you.,"[50363, 6952, 345, 13, 50403]",0.0,-0.2863378862962655,1.647940074906367,0.012450892478227615
38,38,8552,88.32,89.92, Thank you for having me on the show.,"[50503, 6952, 345, 329, 1719, 502, 319, 262, 905, 13, 50583]",0.0,-0.2863378862962655,1.647940074906367,0.012450892478227615
39,39,8552,89.92,90.88," No, thank you.","[50583, 1400, 11, 5875, 345, 13, 50631]",0.0,-0.2863378862962655,1.647940074906367,0.012450892478227615
40,40,8552,90.88,93.03999999999999, I actually went to see the pyramids because of you.,"[50631, 314, 1682, 1816, 284, 766, 262, 12972, 43591, 780, 286, 345, 13, 50739]",0.0,-0.2863378862962655,1.647940074906367,0.012450892478227615
41,41,8552,93.03999999999999,94.39999999999999, I'm very glad to hear that.,"[50739, 314, 1101, 845, 9675, 284, 3285, 326, 13, 50807]",0.0,-0.2863378862962655,1.647940074906367,0.012450892478227615
42,42,8552,94.39999999999999,97.52, It was a mind-bending experience.,"[50807, 632, 373, 257, 2000, 12, 49667, 1998, 13, 50963]",0.0,-0.2863378862962655,1.647940074906367,0.012450892478227615
43,43,8552,97.52,98.56, And when was that?,"[50963, 843, 618, 373, 326, 30, 51015]",0.0,-0.2863378862962655,1.647940074906367,0.012450892478227615
44,44,8552,98.56,101.11999999999999," This is, god, what exactly was this?","[51015, 770, 318, 11, 5770, 11, 644, 3446, 373, 428, 30, 51143]",0.0,-0.2863378862962655,1.647940074906367,0.012450892478227615
45,45,8552,101.11999999999999,104.39999999999999," Four years ago, pandemic kind of makes things.","[51143, 6675, 812, 2084, 11, 19798, 5314, 1611, 286, 1838, 1243, 13, 51307]",0.0,-0.2863378862962655,1.647940074906367,0.012450892478227615
46,46,8552,104.96,105.52, There's like three.,"[51335, 1318, 338, 588, 1115, 13, 51363]",0.0,-0.2863378862962655,1.647940074906367,0.012450892478227615
47,47,8552,105.52,106.64," Oh, murky, maybe three.","[51363, 3966, 11, 39574, 11, 3863, 1115, 13, 51419]",0.0,-0.2863378862962655,1.647940074906367,0.012450892478227615
48,48,8552,106.64,107.84, But it was pre-bendemic.,"[51419, 887, 340, 373, 662, 12, 65, 437, 5314, 13, 51479]",0.0,-0.2863378862962655,1.647940074906367,0.012450892478227615
49,49,8552,107.84,111.36, The giza plateau and those three massive pyramids of the satellite pyramids.,"[51479, 383, 308, 23638, 38008, 290, 883, 1115, 4858, 12972, 43591, 286, 262, 11210, 12972, 43591, 13, 51655]",0.0,-0.2863378862962655,1.647940074906367,0.012450892478227615
50,50,8552,111.36,112.0, Amazing place.,"[51655, 23181, 1295, 13, 51687]",0.0,-0.2863378862962655,1.647940074906367,0.012450892478227615
51,51,11200,112.0,117.84," And the great pyramid itself is totally, utterly unique, extraordinary and special.","[50363, 843, 262, 1049, 27944, 2346, 318, 6635, 11, 15950, 3748, 11, 11359, 290, 2041, 13, 50655]",0.0,-0.14375739778791155,1.664516129032258,0.05041390284895897
52,52,11200,117.84,120.88, I have a longer relationship with the great pyramid.,"[50655, 314, 423, 257, 2392, 2776, 351, 262, 1049, 27944, 13, 50807]",0.0,-0.14375739778791155,1.664516129032258,0.05041390284895897
53,53,11200,120.88,126.96000000000001," I saw, I saw, this unbelievable story of you going to the top.","[50807, 314, 2497, 11, 314, 2497, 11, 428, 24479, 1621, 286, 345, 1016, 284, 262, 1353, 13, 51111]",0.0,-0.14375739778791155,1.664516129032258,0.05041390284895897
54,54,11200,126.96000000000001,129.76," I tried to get to, I got like a quarter of the way up by myself.","[51111, 314, 3088, 284, 651, 284, 11, 314, 1392, 588, 257, 3860, 286, 262, 835, 510, 416, 3589, 13, 51251]",0.0,-0.14375739778791155,1.664516129032258,0.05041390284895897
55,55,11200,129.76,132.8," And I was there with my wife and I was like, I'm not trying to get arrested.","[51251, 843, 314, 373, 612, 351, 616, 3656, 290, 314, 373, 588, 11, 314, 1101, 407, 2111, 284, 651, 5169, 13, 51403]",0.0,-0.14375739778791155,1.664516129032258,0.05041390284895897
56,56,11200,132.8,134.56, And have her just be alone in Egypt.,"[51403, 843, 423, 607, 655, 307, 3436, 287, 6365, 13, 51491]",0.0,-0.14375739778791155,1.664516129032258,0.05041390284895897
57,57,11200,135.2,137.68, And so I pulled it out and I went back down.,"[51523, 843, 523, 314, 5954, 340, 503, 290, 314, 1816, 736, 866, 13, 51647]",0.0,-0.14375739778791155,1.664516129032258,0.05041390284895897
58,58,11200,137.68,140.8, Probably a wise decision because you could have spent some year or two in jail.,"[51647, 18578, 257, 10787, 2551, 780, 345, 714, 423, 3377, 617, 614, 393, 734, 287, 7356, 13, 51803]",0.0,-0.14375739778791155,1.664516129032258,0.05041390284895897
59,59,11200,140.8,141.6," Wow, really?","[51803, 24755, 11, 1107, 30, 51843]",0.0,-0.14375739778791155,1.664516129032258,0.05041390284895897
60,60,14160,141.6,142.16," Oh, yeah.","[50363, 3966, 11, 10194, 13, 50391]",0.0,-0.23346843275912973,1.5579710144927537,0.002626960864290595
